datestamp,name,date_value,code
1966-01-01,瑞典,27.16,SWE
1966-01-01,荷兰,24.74,NLD
1966-01-01,墨西哥,24.32,MEX
1966-01-01,比利时,18.89,BEL
1966-01-01,瑞士,18.02,CHE
1966-01-01,土耳其,14.1,TUR
1966-01-01,伊朗,6.79,IRN
1966-01-01,韩国,3.93,KOR
1966-01-01,沙特阿拉伯,2.92,SAU
1967-01-01,美国,859.62,USA
1967-01-01,德国,145.1,DEU
1967-01-01,日本,132.48,JPN
1967-01-01,法国,117.75,FRA
1967-01-01,英国,113.12,GBR
1967-01-01,意大利,84.4,ITA
1967-01-01,中国,72.88,CHN
1967-01-01,加拿大,65.86,CAN
1967-01-01,印度,50.13,IND
1967-01-01,西班牙,32.57,ESP
1967-01-01,巴西,31.09,BRA
1967-01-01,澳大利亚,30.44,AUS
1967-01-01,瑞典,29.48,SWE
1967-01-01,荷兰,27.14,NLD
1967-01-01,墨西哥,26.56,MEX
1967-01-01,阿根廷,24.26,ARG
1967-01-01,比利时,20.25,BEL
1967-01-01,瑞士,19.4,CHE
1967-01-01,土耳其,15.64,TUR
1967-01-01,伊朗,7.56,IRN
1967-01-01,韩国,4.86,KOR
1967-01-01,沙特阿拉伯,3.26,SAU
1968-01-01,美国,940.22,USA
1968-01-01,日本,156.9,JPN
1968-01-01,德国,156.53,DEU
1968-01-01,法国,128.43,FRA
1968-01-01,英国,107.76,GBR
1968-01-01,意大利,91.49,ITA
1968-01-01,加拿大,72.05,CAN
1968-01-01,中国,70.85,CHN
1968-01-01,印度,53.09,IND
1968-01-01,巴西,33.93,BRA
1968-01-01,澳大利亚,32.71,AUS
1968-01-01,西班牙,32.39,ESP
1968-01-01,瑞典,31.28,SWE
1968-01-01,荷兰,30.1,NLD
1968-01-01,墨西哥,29.36,MEX
1968-01-01,阿根廷,26.44,ARG
1968-01-01,比利时,21.65,BEL
1968-01-01,瑞士,20.71,CHE
1968-01-01,土耳其,17.5,TUR
1968-01-01,伊朗,8.62,IRN
1968-01-01,韩国,6.12,KOR
1968-01-01,沙特阿拉伯,4.19,SAU
1969-01-01,美国,1017.44,USA
1969-01-01,日本,184.3,JPN
1969-01-01,德国,177.73,DEU
1969-01-01,法国,140.36,FRA
1969-01-01,英国,116.46,GBR
1969-01-01,意大利,101.0,ITA
1969-01-01,中国,79.71,CHN
1969-01-01,加拿大,79.41,CAN
1969-01-01,印度,58.45,IND
1969-01-01,巴西,37.17,BRA
1969-01-01,西班牙,37.09,ESP
1969-01-01,澳大利亚,36.68,AUS
1969-01-01,荷兰,34.09,NLD
1969-01-01,瑞典,33.97,SWE
1969-01-01,墨西哥,32.48,MEX
1969-01-01,阿根廷,31.26,ARG
1969-01-01,比利时,24.02,BEL
1969-01-01,瑞士,22.44,CHE
1969-01-01,土耳其,19.47,TUR
1969-01-01,伊朗,9.74,IRN
1969-01-01,韩国,7.68,KOR
1969-01-01,沙特阿拉伯,4.49,SAU
1970-01-01,美国,1073.3,USA
1970-01-01,日本,217.22,JPN
1970-01-01,德国,216.63,DEU
1970-01-01,法国,146.93,FRA
1970-01-01,英国,130.67,GBR
1970-01-01,意大利,113.66,ITA
1970-01-01,中国,92.6,CHN
1970-01-01,加拿大,88.19,CAN
1970-01-01,印度,62.42,IND
1970-01-01,巴西,42.33,BRA
1970-01-01,澳大利亚,41.33,AUS
1970-01-01,西班牙,40.96,ESP
1970-01-01,荷兰,38.22,NLD
1970-01-01,瑞典,38.04,SWE
1970-01-01,墨西哥,35.52,MEX
1970-01-01,阿根廷,31.58,ARG
1970-01-01,比利时,26.71,BEL
1970-01-01,瑞士,25.0,CHE
1970-01-01,土耳其,17.86,TUR
1970-01-01,伊朗,10.98,IRN
1970-01-01,韩国,9.01,KOR
1970-01-01,沙特阿拉伯,5.38,SAU
1971-01-01,美国,1164.85,USA
1971-01-01,德国,250.9,DEU
1971-01-01,日本,245.36,JPN
1971-01-01,法国,164.24,FRA
1971-01-01,英国,148.11,GBR
1971-01-01,意大利,124.96,ITA
1971-01-01,中国,99.8,CHN
1971-01-01,加拿大,99.61,CAN
1971-01-01,印度,67.35,IND
1971-01-01,巴西,48.87,BRA
1971-01-01,西班牙,46.59,ESP
1971-01-01,澳大利亚,45.22,AUS
1971-01-01,荷兰,44.64,NLD
1971-01-01,瑞典,41.51,SWE
1971-01-01,墨西哥,39.2,MEX
1971-01-01,阿根廷,33.29,ARG
1971-01-01,瑞士,30.04,CHE
1971-01-01,比利时,29.82,BEL
1971-01-01,土耳其,16.17,TUR
1971-01-01,伊朗,13.73,IRN
1971-01-01,韩国,9.9,KOR
1971-01-01,沙特阿拉伯,7.18,SAU
1972-01-01,美国,1279.11,USA
1972-01-01,日本,324.93,JPN
1972-01-01,德国,300.9,DEU
1972-01-01,法国,201.62,FRA
1972-01-01,英国,169.97,GBR
1972-01-01,意大利,145.59,ITA
1972-01-01,中国,113.69,CHN
1972-01-01,加拿大,113.46,CAN
1972-01-01,印度,71.46,IND
1972-01-01,西班牙,59.09,ESP
1972-01-01,巴西,58.43,BRA
1972-01-01,荷兰,54.79,NLD
1972-01-01,澳大利亚,52.04,AUS
1972-01-01,瑞典,48.88,SWE
1972-01-01,墨西哥,45.2,MEX
1972-01-01,比利时,37.21,BEL
1972-01-01,瑞士,36.84,CHE
1972-01-01,阿根廷,27.79,ARG
1972-01-01,土耳其,20.65,TUR
1972-01-01,伊朗,17.15,IRN
1972-01-01,韩国,10.86,KOR
1972-01-01,沙特阿拉伯,9.66,SAU
1973-01-01,美国,1425.38,USA
1973-01-01,日本,441.46,JPN
1973-01-01,德国,399.83,DEU
1973-01-01,法国,262.34,FRA
1973-01-01,英国,192.54,GBR
1973-01-01,意大利,175.9,ITA
1973-01-01,中国,138.54,CHN
1973-01-01,加拿大,131.76,CAN
1973-01-01,印度,85.52,IND
1973-01-01,巴西,83.59,BRA
1973-01-01,西班牙,78.58,ESP
1973-01-01,荷兰,71.95,NLD
1973-01-01,澳大利亚,63.83,AUS
1973-01-01,瑞典,59.32,SWE
1973-01-01,墨西哥,55.28,MEX
1973-01-01,阿根廷,52.54,ARG
1973-01-01,瑞士,49.55,CHE
1973-01-01,比利时,47.74,BEL
1973-01-01,伊朗,27.08,IRN
1973-01-01,土耳其,26.0,TUR
1973-01-01,沙特阿拉伯,14.95,SAU
1973-01-01,韩国,13.88,KOR
1974-01-01,美国,1545.24,USA
1974-01-01,日本,490.04,JPN
1974-01-01,德国,446.93,DEU
1974-01-01,法国,283.1,FRA
1974-01-01,英国,206.13,GBR
1974-01-01,意大利,200.02,ITA
1974-01-01,加拿大,160.95,CAN
1974-01-01,中国,144.19,CHN
1974-01-01,巴西,109.79,BRA
1974-01-01,印度,99.53,IND
1974-01-01,西班牙,97.2,ESP
1974-01-01,澳大利亚,88.97,AUS
1974-01-01,荷兰,87.37,NLD
1974-01-01,阿根廷,72.44,ARG
1974-01-01,墨西哥,72.0,MEX
1974-01-01,瑞典,65.92,SWE
1974-01-01,瑞士,57.1,CHE
1974-01-01,比利时,56.03,BEL
1974-01-01,伊朗,46.21,IRN
1974-01-01,沙特阿拉伯,45.41,SAU
1974-01-01,土耳其,35.41,TUR
1974-01-01,韩国,19.54,KOR
1975-01-01,美国,1684.9,USA
1975-01-01,日本,532.86,JPN
1975-01-01,德国,492.43,DEU
1975-01-01,法国,356.78,FRA
1975-01-01,英国,241.76,GBR
1975-01-01,意大利,228.22,ITA
1975-01-01,加拿大,174.42,CAN
1975-01-01,中国,163.43,CHN
1975-01-01,巴西,129.2,BRA
1975-01-01,西班牙,114.7,ESP
1975-01-01,荷兰,100.4,NLD
1975-01-01,印度,98.47,IND
1975-01-01,澳大利亚,97.3,AUS
1975-01-01,墨西哥,88.0,MEX
1975-01-01,瑞典,82.77,SWE
1975-01-01,比利时,65.68,BEL
1975-01-01,瑞士,65.47,CHE
1975-01-01,阿根廷,52.44,ARG
1975-01-01,伊朗,51.78,IRN
1975-01-01,沙特阿拉伯,46.77,SAU
1975-01-01,土耳其,46.04,TUR
1975-01-01,韩国,21.78,KOR
1976-01-01,美国,1873.41,USA
1976-01-01,日本,598.88,JPN
1976-01-01,德国,521.66,DEU
1976-01-01,法国,368.49,FRA
1976-01-01,英国,232.61,GBR
1976-01-01,意大利,225.24,ITA
1976-01-01,加拿大,207.27,CAN
1976-01-01,中国,153.94,CHN
1976-01-01,巴西,153.17,BRA
1976-01-01,西班牙,118.42,ESP
1976-01-01,荷兰,109.33,NLD
1976-01-01,澳大利亚,105.06,AUS
1976-01-01,印度,102.72,IND
1976-01-01,瑞典,89.23,SWE
1976-01-01,墨西哥,88.88,MEX
1976-01-01,比利时,71.11,BEL
1976-01-01,瑞士,68.48,CHE
1976-01-01,伊朗,68.06,IRN
1976-01-01,沙特阿拉伯,64.01,SAU
1976-01-01,土耳其,51.45,TUR
1976-01-01,阿根廷,51.17,ARG
1976-01-01,韩国,29.9,KOR
1977-01-01,美国,2081.83,USA
1977-01-01,日本,737.07,JPN
1977-01-01,德国,602.7,DEU
1977-01-01,法国,406.74,FRA
